# release	go1.27.0
# source	https://go.dev/dl/go1.27.0.src.tar.gz
# source_sha256	7002403d7cc44529ef6d26f69a44818263395ead7c16c05a5808ae047ebeb0e5
# license	BSD-3-Clause
# generated_by	tools/go-corpus/refresh.sh
# path	action	bytes	sha256
test/codegen/arithmetic.go	none	19862	34c4f02b9120053c0c90d36c7c313ea9bbe25a3a8afcb5d0c9e166a0763b0627
test/codegen/atomics.go	none	2573	89e999bcbbb7b0ca121d34c0be201e3c0cbd9a40262800c7b64a773d765c897a
test/codegen/bitfield.go	none	10116	5087764e7505f582c80930d571d5a9dca70042474dae21088efbd1fc4543a323
test/codegen/bits.go	none	15544	ec6a865b53900a340f98ef1e786c73f499ebb0d9bca6fcc42226181765260ece
test/codegen/bmi.go	none	4305	7d806f7e4b852a199745989921977ae579e4de9d3ac642e4a862fed1d1501e77
test/codegen/bool.go	none	7584	44c8660099af17cbc34eb6b686e65eba80636d670ce0cc8a2834e902a0eb8314
test/codegen/clobberdead.go	none	1322	5027d2f3c4449a2611611a0b53cffb2dc91d1c6033ee69cf2e680876ba92810d
test/codegen/clobberdeadreg.go	none	1288	752d2ef4e3a0e8d53b8b11124c5c5b83a34ec910fb36c6d413e8437969a64f76
test/codegen/compare_and_branch.go	none	4676	089cfb9d3056086d45f27e1d5129788dcc3fcad3ae272b47d70bdc6750e6791e
test/codegen/comparisons.go	none	17671	24402b68b6c998ccc37d2ee22aabe6ecfeb16ac0dbd1d6187144fbded75596af
test/codegen/condmove.go	none	14342	e9c45e9eaa2900224203d9a47013ba6d3c396089906fa807907c19011036269a
test/codegen/constants.go	none	1283	50660c69957ffb4697f9dc4dbba687b81da5c319bad2bfb1256f6188fb27659d
test/codegen/copy.go	none	3288	6591ba0f1d6065f4261f74a0273a4c77ad76a4ede09fa5ae5a56818c0465eb7c
test/codegen/deadstore.go	none	660	7e02e7ff53e66ab1adbba6d8bd1c26dd866773121d33a0d34ead3424fca1618e
test/codegen/divmod.go	none	26203	08e7fe1ea30f32c965681ad93bf81778eee9e1562b359c992d30b99e847ae284
test/codegen/floats.go	none	8613	da51deb3660ae59878dc9a4c8846a2821f4700f26cea62e4926d32d14ffff4e1
test/codegen/fuse.go	none	9738	1e2fe35abf92c71db3d96e9963b2d299ce1441f11dd070f1f3a1d0f4e872790a
test/codegen/generics.go	none	579	e7e072d5a109dc44af5a0db15e4c28b8aeba97ff1433dc78d59fa69aed2d021a
test/codegen/ifaces.go	none	1200	15b2a2408043b480aee05c98b15b204547fd48a6d33300674a8b628d2483db9c
test/codegen/issue22703.go	none	5560	86f69abf3faf625fc758759b4afc20a563a9dcd8da61a2c7244382fd1be81d75
test/codegen/issue25378.go	none	443	35c72f6079f74c13419b7e3c0a184a8bda45051b032ec5f73f9f7baf84ef4f6a
test/codegen/issue31618.go	none	504	7546803c5a0a6eb6ce60af428d08b758567e8c187e457d906728d2965b24f023
test/codegen/issue33580.go	none	459	3efcd8c0a8d944623fefb7712b768a90264e93922075feaa7cdb687cd894b9e3
test/codegen/issue38554.go	none	355	d98ad6b660dcb210394d527d55fe736e244fa53e5637dcbef1869cb4642ef63d
test/codegen/issue42610.go	none	623	2821acbb6c5db81b5695870b0ddbac1237a4c43b33059779ad74e4c785dff211
test/codegen/issue48054.go	none	464	e7493c2dcab93c3a96129f34d8f5be4a4f1eaa70cd8284e623937254b68d5d84
test/codegen/issue52635.go	none	1034	b9889203d705852b7f5e4ad4027fe5d4ab8b951edefdf9082417ecbfc295faf2
test/codegen/issue54467.go	none	949	0625c9c41cec2c00850b15151100a81f002aafd4f846f8e0d0eb7d20176278d3
test/codegen/issue56440.go	none	693	5aa343b9ccfef4abe8974c2404cba2057de6d4299c5368ad91ad37e166b1f4c8
test/codegen/issue58166.go	none	560	20e8b9f183fbbdbb86d1567cf8f57bde54ae06c80493d496e4127cccf5bf9d51
test/codegen/issue59297.go	none	296	d1466e1538ff59dd2614a88c830b51c784f1f7b3222cd9480381448af7877aac
test/codegen/issue60324.go	none	738	f14c1edb7d88d5866e085abb80ad7391ae44dffedc4ce106b0ea52b8fd6b24cb
test/codegen/issue60673.go	none	358	3370365319a532fd2f59d3bc2d8302a0a45ddd5ed2b7c24d87bf56d9b25c87f5
test/codegen/issue61356.go	none	1131	6f5ec165a9441b6172e50f3bbc3003f96c743bac7549eace068389b54aecdd87
test/codegen/issue63332.go	none	264	7ed4d2b5643ca82221d05c06ff1ce7392346d619bca2c92d45f5eaba37f92b42
test/codegen/issue66585.go	none	342	7d60905d6986c888cf94b24ec162ecc0b522b61412e38a29518686e6fd132a42
test/codegen/issue68845.go	none	693	f255a79887553cc2c056c58536252293ef98c79c3c28e4289ee2d5b7b1da7b75
test/codegen/issue69635.go	none	304	950bff7158b1dfbd2a1872b33f86a1c0da7a2ee0c5ea261dc9a120fd60dc6247
test/codegen/issue70409.go	none	446	123eae436224dd893238091b9d64d33b283054051ceb933c188de8b846ed1409
test/codegen/issue72832.go	none	788	6797998e4b78adf55617d3bbe405b6effc98a1e59cdbeb3a7bda3f697a98358e
test/codegen/issue74485.go	none	884	0571a84cfd76c50c010ecb04220118f9188e4704a087b4cdaae786cf255cd26b
test/codegen/issue74788.go	none	399	6836dd2b23d047c10fd4e43dd5ae3a5aa3448380dc7c6ed98d06309d20a70714
test/codegen/issue75203.go	none	460	9c1cbda3385ad50d56708f70cc2cf2d54bc41dcf76b43a7a1e9efbf1c7cf2aac
test/codegen/issue77375.go	none	514	8c7ca26c1d58861f41888fad715495ff9bf681fb53d9a2335b932bbd67855089
test/codegen/known_bits.go	none	770	b4e22bacf67491169ab27e0604d98ea0b797a2a7b561d4049a822187180e9a09
test/codegen/load_type_from_itab.go	none	497	78d93314978b3b071317f200f17b322f88d9572fee134582de756615fc6207b5
test/codegen/logic.go	none	1082	d2a775258d0addb971456b70f4d56cd12f631a032e40da02f9b2e0ef086cee0e
test/codegen/mapaccess.go	none	9333	4c9f38ae1a5e73239948a73958409533b0d8a48b5465966eff651224c8c6bd05
test/codegen/maps.go	none	4819	3f71d87e847b8b7e2a7436281db846bbc46e22fd3597fd92509fa3f5eafec24d
test/codegen/math.go	none	8914	a96f84dccec3c219fc7be1032ff765400ab4dcf1a85db0022a19d21c79cf13f1
test/codegen/mathbits.go	none	23460	bf145d014290c3ae42fcbca06e15167efc5e4e6837b0068f0e768b534306923d
test/codegen/memcombine.go	none	33461	0ee7076923105b045c4b74d1b5d0d13c4447f7118cd15c10e36c32f6328f360e
test/codegen/memcse.go	none	548	6f4e21504ce4cf736e3426f551f96f9589f08140df8cd3712574696a03103051
test/codegen/memops.go	none	12632	279b559969ca2e2459dd8a9978e0861a70fad7f0a767079abb4926259b8f93c5
test/codegen/memops_bigoffset.go	none	2503	a45cbce56798f4b9e1889628636338edcbc0e971434ca85a60c46fcc904604c7
test/codegen/moveload.go	none	783	072ceb8c8bc8add35d14a4d7dfa9863e49a90c5b8845007ce5abed1db5c671b5
test/codegen/multiply.go	none	9048	7ee31270dc389d7f5c74e85558f1910251f4aa8ad0f7e89de3ae98af6c0e3a80
test/codegen/noextend.go	none	5433	55d452809151c8f68a12f3ee0e806440cfc711d5d0f575b7f670580302f8758e
test/codegen/race.go	none	651	c69c3b15aebdc0b9156e547627db0f4bfa08b862c6f561caa9163a5c0415e092
test/codegen/reflect_type.go	none	486	323671cc11ca1c2d41e313d676f6a4caa615b78c5c72e833b3c4cb7b9faa16ee
test/codegen/regabi_regalloc.go	none	482	1dae516c1c11ba7b4ed69c6ce9d391f80d876323012dbdd4b5ef398890b3033e
test/codegen/retpoline.go	none	578	1f989e36a7fe6f991a1b43e1b9cc29fb488e511c0725437c8a1b0db3fb92e9b4
test/codegen/rotate.go	none	6045	16c158f5b6bde109188f1a4d54c1031779642320354ad3cd25328b94b2a2f89f
test/codegen/schedule.go	none	709	fd341d21643fe7222bd550ae7791436308d4e935b89afeed49c23bc63b5104f0
test/codegen/select.go	none	372	f300ab7782de84eaff67a1df0f50da60cee02101e41b6715ff8625807108fd59
test/codegen/shape_assert.go	none	2625	f98205ccd1ec7a5f763aa4044b69cd94f1cb5d624d43a223edb2f81524f50723
test/codegen/shift.go	none	16341	84cf003a9e30b115f2ec9aa7aa6041d585f7720d54abb3670c27604a043a85f0
test/codegen/shortcircuit.go	none	368	31f3bce8a72e4e86da10140cd1f2cc8c2554caec3e2af2809613799b67d2f1ab
test/codegen/simd.go	none	3707	04bb1cc71625db33e76bdd1e1985480edb1296a69824c12445ece3bab7cb1c5a
test/codegen/simd_arm64.go	none	4248	f53d4c706897187b9297c31ebf7cbd4863bdb8d6219098a8601dc67a3736491c
test/codegen/slices.go	none	11019	9b13f19d10efe604c0facb1d2622fe50db8fc591bb6290526bf48e79d6d35655
test/codegen/smallintiface.go	none	497	60c01f3751ae1cec16e3c06ed96797e309e44f1cd1c972d9d9be8b31677f3ab3
test/codegen/spectre.go	none	734	1ca44ddefe28403fb1ba33c404771e3d60a87bb010392de9fc2afe5332f73bf0
test/codegen/spills.go	none	525	bc97204d6489defd9b3eafb167b1032467d6836b8f8e5311568b9a9d937b9326
test/codegen/stack.go	none	4085	ee5b3cffcb42e481f1d51d7d05b62f2f3347d11df9b97c4cf0c8da126e197424
