path	mode	verdict	state	exit	phase	family
examples/waitgroups/waitgroups.go	interpreted	pass	complete	0	run	pass
examples/waitgroups/waitgroups.go	compiled	pass	complete	0	run	pass
examples/worker-pools/worker-pools.go	oracle	pass	complete	0	run	pass
examples/worker-pools/worker-pools.go	interpreted	pass	complete	0	run	pass
examples/worker-pools/worker-pools.go	compiled	pass	complete	0	run	pass
examples/writing-files/writing-files.go	oracle	pass	complete	0	run	pass
examples/writing-files/writing-files.go	interpreted	pass	complete	0	run	pass
examples/writing-files/writing-files.go	compiled	pass	complete	0	run	pass
examples/xml/xml.go	oracle	pass	complete	0	run	pass
examples/xml/xml.go	interpreted	fail_mismatch	complete	1	run	program-diagnostic
examples/xml/xml.go	compiled	pass	complete	0	run	pass
