# repository	https://github.com/mmcgrana/gobyexample.git
# commit	7d705626375ba0263b616865a286e1587d6989c8
# observed	2026-09-03
# license	CC-BY-3.0
# generated_by	tools/go-by-example/refresh.sh
# derived_from	docs/go-by-example/classification.tsv
# path	kind	behavior	normalization	adapter	requires	bytes	sha256
examples/temporary-files-and-directories/temporary-files-and-directories.go	program	filesystem_temp	tmp_path	tmpdir	none	1879	8ee32aa460721a176fd0a5be8a9f3e80e75a9361f015dfa02ee978920af66378
examples/testing-and-benchmarking/main_test.go	test_program	test_harness,timeout	duration	bounded_wait,go_test_runner	none	2263	4070ecf5d264e90d2d8ddb6f456e7d8430562fe804961de80690a340ab44a17e
examples/text-templates/text-templates.go	program	deterministic	none	none	none	2480	c814fddeb498acf5252b8d38e5528c86f282d2da99437133bf7deefb9d2a7ebe
examples/tickers/tickers.go	program	clock,concurrency,timeout	wallclock	bounded_wait,fake_clock	none	947	9dfd404595ed484a3f4e19ec9ab712d2d3451d2555f75197c94296af234d532f
examples/time-formatting-parsing/time-formatting-parsing.go	program	clock	wallclock	fake_clock	none	1461	d9b94429f2969fe69e5b13a4139a84e966c1ac541ef096cd7d2708a6a301b4e4
examples/time/time.go	program	clock	wallclock	fake_clock	none	1375	2b7d1abe239fcf0c27e1a6ed890b45f02f4d28fad3756d68d377954216a408d8
examples/timeouts/timeouts.go	program	concurrency,timeout	none	bounded_wait	none	1416	3670d030f98ca1046237c7c7f8b35fca82a0e4278ead38fe35c279eb1191c3ff
examples/timers/timers.go	program	concurrency,timeout	none	bounded_wait	none	1203	9a4f53271ce75bafb04decf8494af57b15923c17e28182beba4a7b23740a2989
examples/url-parsing/url-parsing.go	program	deterministic	none	none	none	1508	ed41edf3e8072641decebd21569e90ae5281771533c481c3b127d24e085bd2f5
examples/values/values.go	program	deterministic	none	none	none	463	184c9425f256879118cb4a155f81d1ba4cd0112bfcbdd3509c8a3da37d0ca80b
examples/variables/variables.go	program	deterministic	none	none	none	802	77397742b5d3a6c2bd99e6b076258d5f6c1f8251963629e81ff92d32118db363
examples/variadic-functions/variadic-functions.go	program	deterministic	none	none	none	867	e60f1e36e235b84e43aed7528bc74cb145cfd9a825e4bac1f9d3196143335c00
examples/waitgroups/waitgroups.go	program	concurrency,timeout	interleave_order	bounded_wait	none	1042	40ab445a59161f7e44990577def34722d376e00c939551a5a14552ac5e0e8ef4
examples/worker-pools/worker-pools.go	program	concurrency,timeout	interleave_order	bounded_wait	none	1418	071e498c4d99d57a6963c095c1d40a94e0672e2a2b34b4875e7400c57aa1274e
examples/writing-files/writing-files.go	program	filesystem_temp	none	tmpdir	none	1334	5ccb7cad94d0b467934b96ffc4a6abb0a6a3fea35da39b4bbbfd8a28aab06cce
examples/xml/xml.go	program	deterministic	none	none	none	1919	f44c127fc84cbc2491665fcf2dfdb08571f925fa2072777130d9b390001c1aec
